fecha,hora,duracion_sesion,direccion_url_entrada,direccion_url_salida,referente,id_usuario_clarity,explorador,dispositivo,sistema_operativo,pais,recuento_paginas,clics_sesion,duracion_sesion_segundos,abandono_rapido,clicks_por_pagina,tiempo_por_pagina,interaccion_total,posible_frustracion,standarized_engagement_score,entrada_es_home,trafico_externo
03/13/2026,10:49,00:00:16,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,bx1vzf,Chrome,PC,Windows,Colombia,1,2,16.0,1,2.0,16.0,3,0,-0.3926286936001255,0,1
03/13/2026,10:48,00:00:05,https://cloudlabslearning.com/,https://cloudlabslearning.com/#error=login_required&state=19fbab15-9d55-4a35-8b28-0fefb323571e,https://www.google.com/,1h7fns5,Chrome,PC,Windows,Mexico,2,2,5.0,0,1.0,2.5,4,0,-0.4009537999720796,0,1
03/13/2026,10:48,00:00:06,https://cloudlabslearning.com/#error=login_required&state=a0efcb5a-3ccf-47b1-8028-52db11a9504a,https://cloudlabslearning.com/#error=login_required&state=a0efcb5a-3ccf-47b1-8028-52db11a9504a,,15ymnwq,Chrome,PC,Windows,Mexico,1,2,6.0,1,2.0,6.0,3,0,-0.4164147118057086,0,0
03/13/2026,10:46,00:00:06,https://cloudlabslearning.com/#error=login_required&state=8f689cbd-7723-49f4-a2f7-44e85cfedd27,https://cloudlabslearning.com/#error=login_required&state=8f689cbd-7723-49f4-a2f7-44e85cfedd27,,o27bll,Chrome,PC,Windows,Mexico,1,3,6.0,1,3.0,6.0,4,0,-0.40452170270291704,0,0
03/13/2026,10:46,00:00:39,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,6791px,ChromeMobile,Mobile,Android,Colombia,1,5,39.0,1,5.0,39.0,6,0,-0.3022418244189096,0,0
03/13/2026,10:45,00:00:05,https://cloudlabslearning.com/#error=login_required&state=666df172-6d68-4582-803e-1e3043f533dc,https://cloudlabslearning.com/#error=login_required&state=666df172-6d68-4582-803e-1e3043f533dc,,zsu6oz,Chrome,PC,Windows,Mexico,1,3,5.0,1,3.0,5.0,4,0,-0.40690030452347536,0,0
03/13/2026,10:45,00:00:09,https://cloudlabslearning.com/#error=login_required&state=e93415f7-3ffe-4494-940b-7fdaf2cddbb2,https://cloudlabslearning.com/#error=login_required&state=e93415f7-3ffe-4494-940b-7fdaf2cddbb2,,9kr7zc,Chrome,PC,Windows,Mexico,1,3,9.0,1,3.0,9.0,4,0,-0.3973858972412421,0,0
03/13/2026,10:44,00:00:05,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,m1i58e,Chrome,PC,Windows,Mexico,1,3,5.0,1,3.0,5.0,4,0,-0.40690030452347536,0,1
03/13/2026,10:40,00:00:54,https://cloudlabslearning.com/,https://cloudlabslearning.com/#error=login_required&state=943983f2-8a00-4fc8-8ad5-9b35e6b93876,https://www.google.com/,hc40h,Chrome,PC,Windows,Mexico,2,5,54.0,0,2.5,27.0,7,0,-0.24872328345634756,0,1
03/13/2026,10:39,00:00:14,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND#error=login_required&state=db5bd542-f1be-45ef-b15a-1e54cd53d2a0,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND#error=login_required&state=db5bd542-f1be-45ef-b15a-1e54cd53d2a0,,w4b6r6,ChromeMobile,Mobile,Android,Colombia,1,1,14.0,1,1.0,14.0,2,0,-0.4092789063440337,0,0
03/13/2026,10:38,00:00:08,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,pkrxhp,Chrome,PC,Windows,Mexico,1,0,8.0,1,0.0,8.0,1,0,-0.4354435263701751,0,1
03/13/2026,10:38,00:00:12,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,jhrru8,ChromeMobile,Mobile,iOS,Colombia,2,0,12.0,0,0.0,6.0,2,0,-0.40808960543375455,0,0
03/13/2026,10:37,00:00:24,https://cloudlabslearning.com/,https://cloudlabslearning.com/#error=login_required&state=f39dcac1-4642-4f3e-8434-79146afa36fa,https://www.google.com/,6qzffl,Chrome,PC,Windows,Mexico,2,3,24.0,0,1.5,12.0,5,0,-0.3438673562786801,0,1
03/13/2026,10:35,00:00:13,https://cloudlabslearning.com/,https://cloudlabslearning.com/#error=login_required&state=6cf5af6e-2baa-4e19-876d-b8a49bc29d16,https://www.google.com/,2yoo82,Chrome,PC,Windows,Mexico,6,7,13.0,0,1.17,2.1666666666666665,13,0,-0.25110188527690586,0,1
03/13/2026,10:34,00:00:14,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1xfgi7o,Chrome,PC,Windows,Mexico,1,6,14.0,1,6.0,14.0,7,0,-0.3498138608300759,0,1
03/13/2026,10:34,00:00:32,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,t605eu,Chrome,PC,Windows,Mexico,1,4,32.0,1,4.0,32.0,5,0,-0.3307850462656094,0,1
03/13/2026,10:33,00:00:01,https://cloudlabslearning.com/,https://cloudlabslearning.com/,,dhe89b,Chrome,PC,Windows,Colombia,1,0,1.0,1,0.0,1.0,1,0,-0.4520937391140833,0,0
03/13/2026,10:33,00:01:57,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,1oxeyrs,ChromeMobile,Mobile,Android,Colombia,1,12,117.0,1,12.0,117.0,13,1,-0.03345981869582023,0,0
03/13/2026,10:33,00:00:03,https://cloudlabslearning.com/,https://cloudlabslearning.com/,,1i2xu5y,Chrome,PC,Windows,Mexico,1,0,3.0,1,0.0,3.0,1,0,-0.44733653547296665,0,0
03/13/2026,10:32,00:00:11,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,1cwozy7,ChromeMobile,Mobile,Android,Colombia,1,0,11.0,1,0.0,11.0,1,0,-0.42830772090850017,0,0
03/13/2026,10:29,00:00:03,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,aajtel,ChromeMobile,Mobile,Android,Mexico,1,2,3.0,1,2.0,3.0,3,0,-0.4235505172673835,0,1
03/13/2026,10:29,00:03:52,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/elementary-school?%2Fregistration=,,f20b25,ChromeMobile,Mobile,Android,Colombia,3,19,232.0,0,6.33,77.33333333333333,22,0,0.3590094816963013,0,0
03/13/2026,10:28,00:00:18,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1o378ae,Chrome,PC,Windows,Mexico,1,3,18.0,1,3.0,18.0,4,0,-0.37597848085621727,0,1
