sessionsCount,sessionsWithMetricPercentage,sessionsWithoutMetricPercentage,pagesViews,subTotal,Url,Device,OS,metricName,averageScrollDepth,totalSessionCount,totalBotSessionCount,distinctUserCount,pagesPerSessionPercentage,totalTime,activeTime
1.0,0.0,100.0,0.0,0.0,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND#error=login_required&state=2d24d7da-6ff1-44fd-9102-1a509d6044e3,Mobile,Android,DeadClickCount,,,,,,,
1.0,0.0,100.0,0.0,0.0,https://cloudlabslearning.com/?utm_term=simulador%20phet&utm_campaign=Search+LATAM+-+Aug+2024&utm_source=adwords&utm_medium=ppc&hsa_acc=2470753793&hsa_cam=21591212112&hsa_grp=169186453147&hsa_ad=710001659640&hsa_src=g&hsa_tgt=kwd-434385050779&hsa_kw=simulador%20phet&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=21591212112&gbraid=0AAAAAC26n3nPchy-Mpyc5oGeTouaTJGOE&gclid=Cj0KCQjwsdnNBhC4ARIsAA_3hej0rB_xlVK3hghqxbmhuvJQhX0cXZz-ojCnlLCj8TxxUYeGFB-cp6oaAsV0EALw_wcB,Mobile,Android,DeadClickCount,,,,,,,
3.0,33.33,66.67,2.0,3.0,https://cloudlabslearning.com/elementary-school?%2Fregistration=,PC,Linux,DeadClickCount,,,,,,,
1.0,0.0,100.0,0.0,0.0,https://cloudlabslearning.com/page-not-found,Mobile,Android,DeadClickCount,,,,,,,
1.0,0.0,100.0,0.0,0.0,https://cloudlabslearning.com/downloads#error=login_required&state=a9de78b2-fe7d-46f5-884b-7121781c70f4,Mobile,Android,DeadClickCount,,,,,,,
1.0,100.0,0.0,1.0,1.0,https://cloudlabslearning.com/#state=34ae480e-94e7-4a6b-8059-914632724a0e&session_state=43e87e93-1eee-4d35-8d45-3baa6e2ae17e&code=0b4eede3-b2ac-42af-9a7c-efd816ad9aea.43e87e93-1eee-4d35-8d45-3baa6e2ae17e.03b1d69b-3912-413a-a496-8faa9b5b43fa,Mobile,IOS,DeadClickCount,,,,,,,
1.0,0.0,100.0,0.0,0.0,https://cloudlabslearning.com/?utm_term=phet%20colorado&utm_campaign=Search+US+-+Aug+2024&utm_source=adwords&utm_medium=ppc&hsa_acc=2470753793&hsa_cam=21591229623&hsa_grp=166881701515&hsa_ad=710110900970&hsa_src=g&hsa_tgt=kwd-2415780203234&hsa_kw=phet%20colorado&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=21591229623&gclid=CjwKCAjw1N7NBhAoEiwAcPchp69gluRwMvycB5_AN65l8xZbSx6KhKKZw0TYslmVALQ44ydAI14jKRoCs00QAvD_BwE,Mobile,Android,DeadClickCount,,,,,,,
1.0,0.0,100.0,0.0,0.0,https://cloudlabslearning.com/uniminuto,PC,Windows,DeadClickCount,,,,,,,
1.0,0.0,100.0,0.0,0.0,https://cloudlabslearning.com/?utm_term=gamificacion%20en%20el%20aula&utm_campaign=Search+LATAM+-+Aug+2024&utm_source=adwords&utm_medium=ppc&hsa_acc=2470753793&hsa_cam=21591212112&hsa_grp=169186453147&hsa_ad=710001659640&hsa_src=s&hsa_tgt=kwd-297879073163&hsa_kw=gamificacion%20en%20el%20aula&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=2&gad_campaignid=21591212112&gclid=Cj0KCQjwsdnNBhC4ARIsAA_3heiqxXZS0Fe78XL7yL-XcD3Z1vLqz16SMUyUk4pJIS08A1Sqh2jgx00aAopIEALw_wcB,Mobile,Android,DeadClickCount,,,,,,,
1.0,0.0,100.0,0.0,0.0,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND#error=login_required&state=d4685b9d-4c54-43da-94c9-ed23bb95bd1c,Mobile,Android,DeadClickCount,,,,,,,
1.0,0.0,100.0,0.0,0.0,https://cloudlabslearning.com/#state=c0a0e3df-33e1-4b2b-9a15-47d5e34c1895&session_state=5f7d4c09-4a02-44a6-9f31-458cb4314baf&code=d29e476b-acc2-4649-b0ec-c64039e980a4.5f7d4c09-4a02-44a6-9f31-458cb4314baf.03b1d69b-3912-413a-a496-8faa9b5b43fa,PC,Windows,DeadClickCount,,,,,,,
1.0,0.0,100.0,0.0,0.0,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND#error=login_required&state=70f53b7f-181f-4e26-8a61-75b43dcf2704,PC,Windows,DeadClickCount,,,,,,,
